Startup,Industry,SubVertical,City,Investors,InvestmentType,Date,InvestmentAmount
Housejoy,EdTech,K12,Mumbai,Lightspeed India,Seed,2023-04-19,1.90642
Groww,Media,Streaming,Bengaluru,IFC,Seed,2025-01-28,15.97944
Groww,Mobility,Ride Sharing,Hyderabad,"Nexus Venture Partners, Peak XV",Series B,2021-03-14,364.53816
FarmBox,Consumer Electronics,Wearables,Gurugram,"Kalaari Capital, Y Combinator",Seed,2023-09-11,4.3589
Udaan,RealEstate,Rental Tech,Mumbai,Bessemer Venture Partners,Seed,2024-01-31,0.85262
AeroStack,EdTech,Coding Bootcamp,Delhi,"Matrix Partners India, Peak XV",Pre-Series A,2021-07-24,1.36994
Ola,Retail,Fashion,Mumbai,Tiger Global Management,Seed,2023-01-12,0.59396
FinSpace,Consumer Electronics,Wearables,Gurugram,Blume Ventures,Growth,2025-01-22,4710.68718
Rapido,FoodTech,Food Delivery,Kolkata,"A91 Partners, Kedaara Capital, Tiger Global Management",Seed,2023-11-27,4.39722
HyperLoop,EdTech,Test Prep,Ahmedabad,"Mirae Asset, SoftBank Vision Fund, Tiger Global",Series B,2020-05-04,341.1438
NextSense,Mobility,Ride Sharing,Delhi,"IFC, Kalaari Capital, Peak XV",Seed,2020-05-19,0.51732
LogiMart,FinTech,NeoBank,Mumbai,"Falcon Edge, Peak XV",Pre-Series A,2023-04-10,8.93814
CoreFlow,SaaS,DevTools,Hyderabad,"Elevation Capital, SoftBank Vision Fund, Ventures India",Pre-Series A,2023-10-07,6.5144
Groww,FinTech,InsurTech,Ahmedabad,Falcon Edge,Debt,2020-07-23,3.58292
ClearDekho,Logistics,Last Mile,Pune,Y Combinator,Private Equity,2024-12-05,1456.09294
NextSense,Mobility,Micro Mobility,Hyderabad,"A91 Partners, Falcon Edge, Prosus Ventures",Series A,2024-07-10,15.73994
Zomato,HealthTech,Pharmacy,Mumbai,"Blume Ventures, Elevation Capital",Private Equity,2024-02-29,1930.2263
FarmTech,EdTech,UpSkilling,Noida,Accel,Series A,2025-01-28,39.68036
Innovaccer,Enterprise,Security,Bengaluru,Ribbit Capital,Pre-Seed,2024-04-28,0.51732
CureFit,HealthTech,Health Analytics,Noida,Accel,Series B,2023-02-22,107.40138
WorkPay,Enterprise,Security,Ahmedabad,Tiger Global,Series A,2022-05-30,50.22794
Mobikwik,Retail,E-Retail,Pune,"Accel, Bessemer Venture Partners, IFC",Seed,2021-05-26,0.80472
Freshworks,AgriTech,Marketplace,Delhi,Tiger Global Management,Angel,2021-04-29,0.11496
EduTech,FinTech,Lending,Pune,"IFC, Matrix Partners India, Zodius Capital",Series C,2022-04-23,516.73562
AeroStack,FinTech,InsurTech,Gurugram,"Y Combinator, Zodius Capital",Seed,2025-02-23,2.57702
HomeFoods,RealEstate,PropTech,Chennai,Tiger Global Management,Seed,2024-11-05,8.6699
QuantumSolutions,Mobility,EV,Noida,IFC,Seed,2020-02-26,0.99632
Swiggy,HealthTech,Pharmacy,Bengaluru,Kedaara Capital,Seed,2022-06-08,3.19014
HyperLabs,Mobility,Ride Sharing,Chennai,Tiger Global,Angel,2021-01-24,0.27782
DriveEdge,Retail,Fashion,Gurugram,"LCatterton, Prosus Ventures, Ribbit Capital",Pre-Series A,2020-05-23,1.06338
NeoTech,Logistics,Fleet Management,Hyderabad,"A91 Partners, Kedaara Capital",Series B,2021-10-30,258.16184
CloudLabs,FoodTech,Grocery,Delhi,"A91 Partners, Sequoia Capital India",Series A,2021-09-08,15.20346
SmartTech,Retail,Fashion,Ahmedabad,"Info Edge, Lightspeed India",Series B,2022-08-10,57.36504
FarmBox,Retail,Fashion,Delhi,"Prosus Ventures, Ribbit Capital",Series B,2021-08-04,665.12982
Bounce,Enterprise,Analytics,Hyderabad,Sequoia Capital India,Seed,2021-02-11,16.87996
HomeMart,AgriTech,Supply Chain,Kolkata,"Kedaara Capital, Lightspeed India",Pre-Series A,2023-07-13,6.15994
NimbusLabs,HealthTech,Telemedicine,Mumbai,Bessemer Venture Partners,Series C,2021-03-24,437.16414
SmartMart,EdTech,Test Prep,Kolkata,"A91 Partners, Falcon Edge, SoftBank Vision Fund",Seed,2022-08-09,0.68976
Ola,AgriTech,Marketplace,Noida,"Blume Ventures, Info Edge",Pre-Series A,2025-01-31,4.62714
FarmBox,Retail,E-Retail,Hyderabad,"Elevation Capital, Ribbit Capital",Series C,2022-12-03,631.0346
Dunzo,Media,Content,Gurugram,"Accel, Nexus Venture Partners",Seed,2021-10-16,0.74724
AeroHub,Media,Social,Mumbai,"Mirae Asset, Tiger Global",Pre-Series A,2021-11-08,2.99854
QuantumDrive,Retail,Fashion,Bengaluru,"Sequoia Capital India, Y Combinator",Series D,2024-04-16,518.4696
AgriFit,FoodTech,Food Delivery,Noida,"LCatterton, Mirae Asset",Series B,2023-01-23,596.02928
SkillFlow,FinTech,InsurTech,Pune,"Kedaara Capital, Zodius Capital",Series B,2024-06-22,98.15668
FreshSolutions,Mobility,Ride Sharing,Chennai,Accel,Series A,2023-09-19,57.61412
DriveLoop,Consumer Electronics,Audio,Bengaluru,Info Edge,Seed,2021-11-01,1.51364
BlueSpace,FoodTech,Food Delivery,Chennai,"A91 Partners, Sequoia Capital India",Seed,2020-06-16,3.26678
NextFlow,E-commerce,Quick Commerce,Bengaluru,Ribbit Capital,Bridge,2021-02-12,3.60208
MediWorks,RealEstate,PropTech,Ahmedabad,"Matrix Partners India, Omidyar Network, Y Combinator",Bridge,2022-08-10,0.94842
Porter,Retail,E-Retail,Hyderabad,A91 Partners,Seed,2020-02-22,17.12904
UrbanSolutions,Media,Social,Mumbai,"Elevation Capital, Kedaara Capital, Matrix Partners India",Series A,2024-08-28,78.16322
Housejoy,Retail,Fashion,Bengaluru,"Falcon Edge, SoftBank Vision Fund, Y Combinator",Seed,2022-05-27,15.328
QuantumDrive,E-commerce,Fashion,Pune,"Info Edge, Kedaara Capital",Series B,2024-08-24,572.5487
SkillFlow,Mobility,EV,Kolkata,"IFC, Matrix Partners India",Series A,2024-02-06,48.36942
Unacademy,Logistics,Supply Chain,Gurugram,"Prosus Ventures, SoftBank Vision Fund",Series C,2023-03-13,2325.96652
NimbusLabs,HealthTech,Health Analytics,Gurugram,Elevation Capital,Pre-Series A,2021-06-13,1.17834
SkillSolutions,Mobility,Ride Sharing,Mumbai,"A91 Partners, Matrix Partners India",Seed,2022-04-12,0.98674
FarmBox,Consumer Electronics,Wearables,Bengaluru,"Elevation Capital, Prosus Ventures",Seed,2021-03-29,0.56522
Nykaa,Consumer Electronics,Smart Home,Noida,"Kedaara Capital, SoftBank Vision Fund",Seed,2024-03-07,1.59028
SkillFlow,EdTech,Test Prep,Gurugram,"Peak XV, Prosus Ventures",Seed,2024-03-01,2.0118
CloudLabs,Consumer Electronics,Wearables,Ahmedabad,"Accel, Elevation Capital",Bridge,2022-12-10,1.30288
